,property_link
0,https://www.abodo.com/ann-arbor-mi/400-maynard-apartments
1,https://www.abodo.com/ann-arbor-mi/403-church-st
2,https://www.abodo.com/ann-arbor-mi/601-e-william-st
3,https://www.abodo.com/ann-arbor-mi/555-e-william-st-apt-16g
4,https://www.abodo.com/ann-arbor-mi/415-church-st
5,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-5e
6,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-14j
7,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-3h
8,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-9d
9,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-st-23g
10,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-9f
11,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-2e
12,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-6g
13,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-14g
14,https://www.abodo.com/ann-arbor-mi/ann-arbor-tower-plaza-555-e-william-5g
15,https://www.abodo.com/ann-arbor-mi/corner-house-apartments
16,https://www.abodo.com/ann-arbor-mi/zaragon-place
17,https://www.abodo.com/ann-arbor-mi/carriage-house
18,https://www.abodo.com/ann-arbor-mi/zaragon-west
19,https://www.abodo.com/ann-arbor-mi/410-east-william
20,https://www.abodo.com/ann-arbor-mi/properties/3159927
21,https://www.abodo.com/ann-arbor-mi/503-church
22,https://www.abodo.com/ann-arbor-mi/425-church
23,https://www.abodo.com/ann-arbor-mi/411-washtenaw-ave
24,https://www.abodo.com/ann-arbor-mi/507-church-st
25,https://www.abodo.com/ann-arbor-mi/properties/3711725
26,https://www.abodo.com/ann-arbor-mi/414-s-division-st
27,https://www.abodo.com/ann-arbor-mi/university-towers
28,https://www.abodo.com/ann-arbor-mi/324-thompson-st
29,https://www.abodo.com/ann-arbor-mi/332-e-william-st
30,https://www.abodo.com/ann-arbor-mi/409-s-division-st
31,https://www.abodo.com/ann-arbor-mi/335-s-division-st-apt-1
32,https://www.abodo.com/ann-arbor-mi/335-s-division-st-apt-2
33,https://www.abodo.com/ann-arbor-mi/913-east-huron
34,https://www.abodo.com/ann-arbor-mi/611-church-st
35,https://www.abodo.com/ann-arbor-mi/339-s-division-st-apt-5
36,https://www.abodo.com/ann-arbor-mi/907-e-huron-st
37,https://www.abodo.com/ann-arbor-mi/336-s-division-st
38,https://www.abodo.com/ann-arbor-mi/311-thompson-st
39,https://www.abodo.com/ann-arbor-mi/306-thompson-st
40,https://www.abodo.com/ann-arbor-mi/south-university
41,https://www.abodo.com/ann-arbor-mi/s-forest-ave
42,https://www.abodo.com/ann-arbor-mi/park-plaza
43,https://www.abodo.com/ann-arbor-mi/209-n-ingalls-st
44,https://www.abodo.com/ann-arbor-mi/115-117-n-thayer
45,https://www.abodo.com/ann-arbor-mi/820-e-ann-st
46,https://www.abodo.com/ann-arbor-mi/1335-geddes-ave
47,https://www.abodo.com/ann-arbor-mi/forum
48,https://www.abodo.com/ann-arbor-mi/114-n-thayer-st
49,https://www.abodo.com/ann-arbor-mi/118-n-ingalls-st
50,https://www.abodo.com/ann-arbor-mi/320-s-division
51,https://www.abodo.com/ann-arbor-mi/420-s-division-st
52,https://www.abodo.com/ann-arbor-mi/1207-willard
53,https://www.abodo.com/ann-arbor-mi/327-s-division-st-apt-1
54,https://www.abodo.com/ann-arbor-mi/327-s-division-st-apt-4
55,https://www.abodo.com/ann-arbor-mi/327-s-division-st-apt-3
56,https://www.abodo.com/ann-arbor-mi/333-s-division-st-apt-8
57,https://www.abodo.com/ann-arbor-mi/109-glen-ave-2
58,https://www.abodo.com/ann-arbor-mi/415-washtenaw-ave
